attr_o,sinc_o,intel_o,fun_o,amb_o,shar_o,attr1_1,sinc1_1,intel1_1,fun1_1,amb1_1,shar1_1,attr4_1,sinc4_1,intel4_1,fun4_1,amb4_1,shar4_1,attr2_1,sinc2_1,intel2_1,fun2_1,amb2_1,shar2_1,attr3_1,sinc3_1,fun3_1,intel3_1,amb3_1,attr5_1,sinc5_1,intel5_1,fun5_1,amb5_1,attr,sinc,intel,fun,amb,shar,attr1_2,sinc1_2,intel1_2,fun1_2,amb1_2,shar1_2,attr4_2,sinc4_2,intel4_2,fun4_2,amb4_2,shar4_2,attr2_2,sinc2_2,intel2_2,fun2_2,amb2_2,shar2_2,attr3_2,sinc3_2,intel3_2,fun3_2,amb3_2,attr5_2,sinc5_2,intel5_2,fun5_2,amb5_2,attr3_3,sinc3_3,intel3_3,fun3_3,amb3_3
10.0,10.0,10.0,10.0,10.0,10.0,60.0,40.0,45.0,25.0,25.0,25.0,70.0,30.0,30.0,30.0,33.0,25.0,68.0,30.0,30.0,30.0,50.0,30.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,60.0,30.0,40.0,30.0,20.0,30.0,60.0,35.0,40.0,30.0,30.0,30.0,60.0,25.0,30.0,33.33,50.0,23.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0
10.0,10.0,10.0,10.0,10.0,10.0,50.0,47.0,42.86,25.0,20.0,22.0,75.0,35.0,35.0,30.0,25.0,30.0,70.0,25.0,30.0,30.0,30.0,20.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,50.0,30.0,35.0,25.0,20.0,25.0,50.0,30.0,20.0,30.0,20.0,20.0,50.0,25.0,25.0,25.0,25.0,20.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,9.0,8.0,10.0,10.0,10.0,10.0
10.0,10.0,10.0,10.0,10.0,10.0,60.0,60.0,30.0,25.0,20.0,30.0,60.0,30.0,30.0,30.0,20.0,20.0,60.0,30.0,20.0,40.0,20.0,20.0,9.0,10.0,9.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,85.0,22.0,30.0,30.0,20.0,30.0,85.0,30.0,25.0,30.0,16.0,30.0,85.0,20.0,25.0,30.0,30.0,30.0,8.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,9.0,9.0,9.0,10.0,10.0,8.0,10.0
10.0,10.0,10.0,10.0,10.0,10.0,75.0,30.0,30.0,50.0,30.0,25.0,85.0,25.0,25.0,30.0,30.0,40.0,80.0,25.0,25.0,33.0,30.0,30.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,85.0,30.0,30.0,40.0,20.0,25.0,85.0,30.0,25.0,40.0,35.0,20.0,75.0,30.0,21.05,30.0,40.0,25.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,9.0
10.0,10.0,10.0,10.0,10.0,10.0,95.0,30.0,40.0,35.0,20.0,30.0,95.0,25.0,30.0,30.0,50.0,25.0,100.0,28.0,30.0,30.0,25.0,30.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,75.0,50.0,30.0,30.0,20.0,20.0,80.0,20.0,20.0,30.0,30.0,20.0,75.0,20.0,25.0,30.0,20.0,25.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0
10.0,10.0,10.0,9.0,10.0,10.0,60.0,30.0,40.0,20.0,20.0,30.0,75.0,19.0,30.0,30.0,25.0,20.0,50.0,25.0,40.0,30.0,35.0,20.0,9.0,10.0,9.0,10.0,9.0,8.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,50.0,25.0,40.0,20.0,15.0,30.0,50.0,20.0,20.0,20.0,20.0,30.0,40.0,20.0,30.0,25.0,20.0,30.0,8.0,10.0,10.0,9.0,9.0,8.0,10.0,9.0,9.0,9.0,9.0,10.0,10.0,8.0,8.0
10.0,10.0,10.0,10.0,10.0,10.0,55.0,40.0,50.0,45.0,18.0,30.0,60.0,30.0,30.0,45.0,25.0,30.0,60.0,40.0,25.0,50.0,30.0,30.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,80.0,30.0,25.0,33.0,15.0,25.0,80.0,25.0,20.0,40.0,20.0,18.0,80.0,30.0,30.0,40.0,30.0,25.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0
9.0,10.0,10.0,10.0,10.0,9.0,50.0,30.0,25.0,30.0,20.0,25.0,50.0,30.0,30.0,30.0,30.0,25.0,50.0,20.0,20.0,30.0,20.0,25.0,10.0,10.0,9.0,10.0,10.0,8.0,10.0,10.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0,9.0,40.0,20.0,20.0,20.0,20.0,25.0,40.0,20.0,30.0,20.0,30.0,25.0,70.0,30.0,20.0,30.0,20.0,25.0,9.0,9.0,10.0,10.0,10.0,8.0,9.0,10.0,9.0,9.0,10.0,10.0,10.0,10.0,10.0
10.0,10.0,10.0,10.0,10.0,10.0,40.0,26.0,30.0,30.0,20.0,20.0,75.0,20.0,30.0,40.0,50.0,30.0,60.0,30.0,40.0,30.0,30.0,30.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,50.0,25.0,30.0,30.0,20.0,30.0,100.0,25.0,30.0,50.0,20.0,35.0,60.0,40.0,30.0,25.0,20.0,25.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,9.0,10.0,9.0
9.0,10.0,10.0,10.0,10.0,8.0,40.0,30.0,40.0,20.0,20.0,20.0,75.0,20.0,20.0,25.0,20.0,20.0,60.0,20.0,20.0,30.0,20.0,20.0,9.0,10.0,10.0,10.0,10.0,8.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,8.0,40.0,30.0,40.0,20.0,18.0,20.0,75.0,20.0,30.0,40.0,20.0,30.0,80.0,20.0,20.0,20.0,20.0,20.0,9.0,10.0,10.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0
10.0,10.0,10.0,10.0,10.0,10.0,70.0,30.0,30.0,30.0,16.0,30.0,90.0,30.0,30.0,30.0,30.0,20.0,90.0,30.0,30.0,40.0,30.0,25.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,75.0,30.0,30.0,30.0,20.0,35.0,80.0,30.0,25.0,30.0,20.0,40.0,70.0,30.0,20.0,40.0,30.0,25.0,10.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,10.0,10.0
